auctionid;openbid;item;auction_type
12;1.0;Cartier wristwatch;3 day auction
27;99.0;Cartier wristwatch;3 day auction
41;99.99;Cartier wristwatch;3 day auction
52;200.0;Cartier wristwatch;3 day auction
57;99.0;Cartier wristwatch;3 day auction
58;100.0;Cartier wristwatch;3 day auction
59;9.99;Cartier wristwatch;3 day auction
60;9.99;Cartier wristwatch;3 day auction
80;149.99;Cartier wristwatch;3 day auction
81;199.0;Cartier wristwatch;3 day auction
86;1200.0;Cartier wristwatch;3 day auction
90;100.0;Cartier wristwatch;3 day auction
96;99.99;Cartier wristwatch;3 day auction
106;99.0;Cartier wristwatch;3 day auction
112;500.0;Cartier wristwatch;3 day auction
13;899.99;Cartier wristwatch;5 day auction
17;9.99;Cartier wristwatch;5 day auction
18;500.0;Cartier wristwatch;5 day auction
22;1.0;Cartier wristwatch;5 day auction
23;1.0;Cartier wristwatch;5 day auction
26;500.0;Cartier wristwatch;5 day auction
28;2350.0;Cartier wristwatch;5 day auction
38;90.0;Cartier wristwatch;5 day auction
42;1699.0;Cartier wristwatch;5 day auction
43;9.99;Cartier wristwatch;5 day auction
44;9.99;Cartier wristwatch;5 day auction
45;9.99;Cartier wristwatch;5 day auction
70;100.0;Cartier wristwatch;5 day auction
78;1.0;Cartier wristwatch;5 day auction
84;100.0;Cartier wristwatch;5 day auction
87;1.0;Cartier wristwatch;5 day auction
89;1.0;Cartier wristwatch;5 day auction
103;150.0;Cartier wristwatch;5 day auction
104;50.0;Cartier wristwatch;5 day auction
105;10.0;Cartier wristwatch;5 day auction
118;1.0;Cartier wristwatch;5 day auction
0;500.0;Cartier wristwatch;7 day auction
1;200.0;Cartier wristwatch;7 day auction
2;300.0;Cartier wristwatch;7 day auction
3;225.0;Cartier wristwatch;7 day auction
4;25.0;Cartier wristwatch;7 day auction
5;495.0;Cartier wristwatch;7 day auction
6;1.0;Cartier wristwatch;7 day auction
7;1.0;Cartier wristwatch;7 day auction
8;155.0;Cartier wristwatch;7 day auction
9;4.99;Cartier wristwatch;7 day auction
10;1000.0;Cartier wristwatch;7 day auction
11;100.0;Cartier wristwatch;7 day auction
14;1.0;Cartier wristwatch;7 day auction
15;5.0;Cartier wristwatch;7 day auction
16;1.0;Cartier wristwatch;7 day auction
19;1.0;Cartier wristwatch;7 day auction
20;50.0;Cartier wristwatch;7 day auction
21;1.0;Cartier wristwatch;7 day auction
24;1.0;Cartier wristwatch;7 day auction
25;1499.99;Cartier wristwatch;7 day auction
29;200.0;Cartier wristwatch;7 day auction
30;195.0;Cartier wristwatch;7 day auction
31;1.0;Cartier wristwatch;7 day auction
32;500.0;Cartier wristwatch;7 day auction
33;250.0;Cartier wristwatch;7 day auction
34;9.99;Cartier wristwatch;7 day auction
35;1.0;Cartier wristwatch;7 day auction
36;200.0;Cartier wristwatch;7 day auction
37;175.0;Cartier wristwatch;7 day auction
39;99.0;Cartier wristwatch;7 day auction
40;299.99;Cartier wristwatch;7 day auction
46;500.0;Cartier wristwatch;7 day auction
47;1.0;Cartier wristwatch;7 day auction
48;101.01;Cartier wristwatch;7 day auction
49;650.0;Cartier wristwatch;7 day auction
50;700.0;Cartier wristwatch;7 day auction
51;399.0;Cartier wristwatch;7 day auction
53;19.99;Cartier wristwatch;7 day auction
54;20.0;Cartier wristwatch;7 day auction
55;95.0;Cartier wristwatch;7 day auction
56;499.0;Cartier wristwatch;7 day auction
61;900.0;Cartier wristwatch;7 day auction
62;0.01;Cartier wristwatch;7 day auction
63;1.0;Cartier wristwatch;7 day auction
64;1.0;Cartier wristwatch;7 day auction
65;1.0;Cartier wristwatch;7 day auction
66;500.0;Cartier wristwatch;7 day auction
67;0.01;Cartier wristwatch;7 day auction
68;500.0;Cartier wristwatch;7 day auction
69;350.0;Cartier wristwatch;7 day auction
71;1.0;Cartier wristwatch;7 day auction
72;1.0;Cartier wristwatch;7 day auction
73;9.99;Cartier wristwatch;7 day auction
74;500.0;Cartier wristwatch;7 day auction
75;1.0;Cartier wristwatch;7 day auction
76;1.0;Cartier wristwatch;7 day auction
77;1.0;Cartier wristwatch;7 day auction
79;25.0;Cartier wristwatch;7 day auction
